日付,店舗名,商品カテゴリ,売上金額,件数
2025-01-05,渋谷店,食品,45200,12
2025-01-05,新宿店,食品,38700,9
2025-01-05,池袋店,日用品,22100,7
2025-01-06,渋谷店,衣類,68500,5
2025-01-06,新宿店,日用品,31200,11
2025-01-06,池袋店,食品,42800,14
2025-01-07,渋谷店,日用品,29300,8
2025-01-07,新宿店,衣類,55600,4
2025-01-07,池袋店,衣類,71200,6
2025-01-08,渋谷店,食品,51000,15
2025-01-08,新宿店,食品,44500,13
2025-01-08,池袋店,日用品,27800,9
2025-02-03,渋谷店,食品,48900,13
2025-02-03,新宿店,衣類,62300,5
2025-02-03,池袋店,食品,39100,11
2025-02-10,渋谷店,日用品,33500,10
2025-02-10,新宿店,食品,47200,14
2025-02-10,池袋店,衣類,58700,4
2025-02-17,渋谷店,衣類,74100,6
2025-02-17,新宿店,日用品,28900,8
2025-02-17,池袋店,食品,43600,12
2025-03-03,渋谷店,食品,52300,15
2025-03-03,新宿店,食品,41800,11
2025-03-03,池袋店,日用品,35200,10
2025-03-10,渋谷店,衣類,81200,7
2025-03-10,新宿店,衣類,67500,5
2025-03-10,池袋店,衣類,76800,6
2025-03-17,渋谷店,日用品,31700,9
2025-03-17,新宿店,日用品,25400,7
2025-03-17,池袋店,食品,46200,13
